Time;Vitórias;Derrotas;Empates;Gols Marcados;Gols Sofridos;Artilheiro na Competição;Recompensa
Flamengo;23;5;10;78;27;Arrascaeta (18);Libertadores
Palmeiras;23;8;7;66;33;Vitor Roque (16);Libertadores
Cruzeiro;19;6;13;55;31;Kaio Jorge (21);Libertadores
Mirassol;18;7;13;63;39;Reinaldo (13);Libertadores
Fluminense;19;12;7;50;39;Kevin Serna (5);Pré-Libertadores
Botafogo;17;9;12;58;38;Igor Jesus;Pré-Libertadores
Bahia;17;12;9;50;46;Willian José (11);Sul-Americana
São Paulo;14;15;9;43;47;André Silva / Ferreira;Sul-Americana
Grêmio;13;15;10;47;50;Cristian Pavón (7);Sul-Americana
Red Bull Bragantino;14;18;6;45;57;Isidro Pitta (4);Sul-Americana
Atlético-MG;12;14;12;43;44;Rony;Sul-Americana
Santos;12;15;11;45;50;Neymar (11);Sul-Americana
Corinthians;12;15;11;42;47;Yuri Alberto (10);Neutro
Vasco;13;19;6;55;60;Pablo Vegetti (14);Neutro
Vitória;11;15;12;35;52;Renato Kayzer (7);Neutro
Internacional;11;16;11;44;57;Alan Patrick (7);Neutro
Ceará;11;17;10;34;40;Pedro Raul (7);Rebaixamento
Fortaleza;11;17;10;43;58;Lucero;Rebaixamento
Juventude;9;21;8;35;69;Batalla;Rebaixamento
Sport;2;25;11;28;75;Derik Lacerda;Rebaixamento
